tenhc,latitude,longitude
Đăk Long,14.6300997,107.9257688
Đăk Môn,14.8891081,107.7088038
Dục Nông,14.852787,107.6759855
Đăk Sao,14.9271916,107.8230721
Đăk Tờ Kan,14.7951793,107.8659328
Ngọk Tụ,14.763761,107.7626116
Kon Đào,14.6995493,107.8368625
Đăk Pxi,14.6703991,107.9523156
Đăk Ui,14.5635754,108.0019313
Bờ Y,14.7050728,107.5629434
Sa Loong,14.6177311,107.6375198
Đăk Tô,14.6612477,107.840036
Sa Thầy,14.4095371,107.7951502
Rờ Kơi,14.5200244,107.7392226
Ia Đal,14.1443394,107.424164
Mô Rai,14.3775557,107.5458843
Ia Tơi,14.0933495,107.5451485
Sa Bình,14.3799656,107.8565103
Ya Ly,14.3159359,107.8340144
Đăk Bla,15.1777301,107.8028252
Ngọk Bay,14.3952128,107.9159617
Ia Chim,14.3079882,107.9036172
Đăk Rơ Wa,14.3184038,108.0421757
Đăk Mar,14.5377396,107.9208836
Đăk Hà,14.5133455,107.9215147
Ngọc Linh,15.0883944,107.9291533
Đăk Plô,15.2486812,107.6717448
Đăk Pék,15.0807103,107.7291369
Xốp,15.1140506,107.8067918
Măng Bút,14.8338408,108.1976402
Kon Plông,14.6014606,108.2916225
Măng Đen,14.6014606,108.2916225
Đăk Kôi,14.6540635,108.126111
Kon Tum,14.3406675,107.9807771
Đăk Cấm,14.4080877,108.024159
Đăk Rve,14.5074001,108.2475497
Kon Braih,14.4298976,108.1673924
Ngọk Réo,14.4862722,108.0394539
Vạn Tường,15.1205915,108.8107389
Bình Sơn,15.2872189,108.7586373
Sơn Thủy,14.9683101,108.4989357
Sơn Hà,14.9747991,108.5244112
Sơn Linh,15.0031399,108.5897345
Trà Giang,15.0923145,108.6758977
Sơn Tây,14.9694316,108.3556047
Nghĩa Giang,15.1136144,108.7343083
Sơn Mai,14.98766,108.7005924
Phước Giang,15.0404297,108.7346364
Trường Giang,15.1700691,108.631627
Ba Gia,15.2116389,108.6549463
Sơn Tịnh,15.1970167,108.7091094
Thọ Phong,15.2199489,108.8036962
Trà Bồng,15.2087717,108.4531172
Đông Trà Bồng,15.2772086,108.5874819
Bình Minh,15.2767088,108.6643623
Bình Chương,15.2702781,108.718608
Sơn Tây Thượng,14.9694316,108.3556047
Thanh Bồng,15.2560695,108.3788464
Tây Trà,15.1605532,108.3386804
Sơn Hạ,14.9747991,108.5244112
Cà Đam,15.1651942,108.5343407
Tây Trà Bồng,15.1480892,108.4254793
Thiện Tín,14.9230053,108.760607
Long Phụng,15.0398992,108.8820315
Mỏ Cày,14.99107,108.8971993
Đình Cương,15.0044249,108.8054064
Vệ Giang,15.0523547,108.8489997
Nghĩa Hành,14.9669204,108.7979366
Tư Nghĩa,15.0833796,108.8390246
Sơn Kỳ,14.8625306,108.5199118
Sơn Tây Hạ,14.9694316,108.3556047
Minh Long,14.9464855,108.6760404
Mộ Đức,14.9862642,108.888603
Lân Phong,14.888533,108.9212313
Trà Câu,14.8518176,108.9373221
Nguyễn Nghiêm,15.1212755,108.8063933
Khánh Cường,14.7267738,109.015994
Ba Tơ,14.7153239,108.7406987
Ba Vinh,14.8435957,108.6643979
Ba Động,14.8226908,108.7783634
Ba Dinh,15.3018841,108.7592861
Cẩm Thành,15.1128694,108.8112246
Ba Vì,14.7419262,108.5599152
Đặng Thùy Trâm,14.7390812,108.8696246
Ba Tô,14.7153239,108.7406987
Sa Huỳnh,14.7540644,108.9761109
Ba Xa,14.7419962,108.7415155
Nghĩa Lộ,15.1055107,108.7939715
An Phú,15.1205491,108.859935
Đông Sơn,15.2410488,108.8872811
Tịnh Khê,15.1801741,108.8605984
Trương Quang Trọng,15.1587157,108.7932872
Đức Phổ,14.8087189,108.9571626
Măng Ri,14.9565872,107.927374
Tu Mơ Rông,14.888138,107.9553006
Lý Sơn,15.3809098,109.1174595
